entity,ageMonths
KSS.PriceNet.Batch.PriceGenerationControl/PriceGenerationControl.cs,0
choco/tools/IIS-Functions/IIS-Functions.psm1,0
choco/tools/chocolateyinstall.ps1,0
KSS.PriceNet.Batch.Transports.WebAPI/Sender.cs,0
Dockerfile,1
azure-pipelines.yml,1
KSS.PriceNet.Batch.Import/ImportDataFiles.cs,1
KSS.PriceNet.Shared.EntityModel/BeforeDeleteHandler.cs,1
KSS.PriceNet.PriceGeneration.RulesLibrary/Product_PriceAmend_MarginAmendment.cs,1
KSS.PriceNet.Globalisation/PriceNetResources.en-US.resx,2
KSS.PriceNet.PriceGeneration.RulesLibrary/KSS.PriceNet.PriceGeneration.RulesLibrary.csproj,2
KSS.PriceNet.Batch.Import/app.config,3
KSS.PriceNet.Batch.Service/App.config,3
Makefile,3
docker-compose.yml,3
run-app.ps1,3
KSS.PriceNet.Shared.Common/KSS.PriceNet.Shared.Common.csproj,3
KSS.PriceNet.Shared.Common/packages.config,3
KSS.PriceNet.Shared.Common/PNConfigurationProvider.cs,3
docker-compose.ports.yml,3
pricenet-alerts,3
KSS.PriceNet.BatchAppLibrary/KSS.PriceNet.BatchAppLibrary.csproj,4
DisasterAndRecoveryCSV/app.config,4
DisasterAndRecoveryXml/app.config,4
KSS.PriceNet.ArchiveTruncate/app.config,4
KSS.PriceNet.Batch.ArchiveTruncate/app.config,4
KSS.PriceNet.Batch.ClosedRestrictedStrategy/app.config,4
KSS.PriceNet.Batch.ConsoleApplication/App.config,4
KSS.PriceNet.Batch.CostAggregation/app.config,4
KSS.PriceNet.Batch.DealerPriceCalculation/app.config,4
KSS.PriceNet.Batch.DeleteExportedFiles/app.config,4
KSS.PriceNet.Batch.Download/app.config,4
KSS.PriceNet.Batch.EntityModel/app.config,4
KSS.PriceNet.Batch.Export.Auditing/app.config,4
KSS.PriceNet.Batch.Export.Formatter/app.config,4
KSS.PriceNet.Batch.Export.ModelSummary/app.config,4
KSS.PriceNet.Batch.Export.ModelSummaryRequester/app.config,4
KSS.PriceNet.Batch.Export.Notes/app.config,4
KSS.PriceNet.Batch.Export.PostProcessing/app.config,4
KSS.PriceNet.Batch.Export.PreProcessing/app.config,4
KSS.PriceNet.Batch.Export.ProposedPrices/app.config,4
