author,added,deleted,commits
Pete Wild,14048,12476,35
andyr-kalibrate,11116,7318,24
David Smith,3975,1673,8
iamandymcinnes,2184,1820,8
NicholasThurgoland,2042,1885,5
joehcleung,581,125,28
David Pendray,287,407,36
ParkerG-Kalibrate,414,237,12
ShafeeqMansoor,390,172,5
Jon Cain,271,226,2
KALIBRATE\McInnesA,205,280,21
christopherchalmers,372,39,3
LeszekKalibrate,120,62,4
Kanwaljeet Singh,65,45,2
Shafeeq Mansoor,16,79,2
RachelEvans30,38,29,2
Dave McKerral,2,54,3
markwkal,52,0,1
davidsmithkalibrate,28,22,5
Michael Watson,33,0,1
Andy Heath,20,6,3
