entity,added,deleted,commits
azure-pipelines.yml,693,488,28
Dockerfile,165,183,18
Jenkinsfile,156,156,18
KSS.PriceNet.Batch.Service/App.config,197,158,16
KSS.PriceNet.Batch.SQLServerDAL/ProposedPriceExportDAL.cs,200,152,15
KSS.PriceNet.Batch.Import/app.config,134,75,14
KSS.PriceNet.Shared.Common/KSS.PriceNet.Shared.Common.csproj,258,93,13
KSS.PriceNet.Shared.Common/packages.config,79,32,13
Test Harness2/App.config,176,120,13
KSS.PriceNet.Batch.Import/ImportDataFiles.cs,117,93,13
KSS.PriceNet.Batch.TimeZones/Process.cs,137,78,13
KSS.PriceNet.Shared.Common/app.config,88,43,12
PetesTestHarness/App.config,154,93,12
KSS.PriceNet.BatchApp/App.config,320,427,12
KSS.PriceNet.ExportUtility/Export.cs,106,183,12
DisasterAndRecoveryCSV/app.config,82,41,11
DisasterAndRecoveryXml/app.config,82,41,11
KSS.PriceNet.ArchiveTruncate/app.config,84,43,11
KSS.PriceNet.Batch.ArchiveTruncate/app.config,84,43,11
KSS.PriceNet.Batch.ClosedRestrictedStrategy/app.config,84,43,11
KSS.PriceNet.Batch.ConsoleApplication/App.config,121,95,11
KSS.PriceNet.Batch.CostAggregation/app.config,84,43,11
KSS.PriceNet.Batch.DealerPriceCalculation/app.config,84,43,11
KSS.PriceNet.Batch.DeleteExportedFiles/app.config,84,43,11
KSS.PriceNet.Batch.Download/app.config,84,43,11
KSS.PriceNet.Batch.EntityModel/app.config,84,43,11
KSS.PriceNet.Batch.Export.Auditing/app.config,84,43,11
KSS.PriceNet.Batch.Export.Formatter/app.config,87,46,11
KSS.PriceNet.Batch.Export.ModelSummary/app.config,87,46,11
KSS.PriceNet.Batch.Export.ModelSummaryRequester/app.config,87,46,11
KSS.PriceNet.Batch.Export.Notes/app.config,87,46,11
KSS.PriceNet.Batch.Export.PostProcessing/app.config,84,43,11
KSS.PriceNet.Batch.Export.PreProcessing/app.config,87,46,11
KSS.PriceNet.Batch.Export.ProposedPrices/app.config,87,46,11
KSS.PriceNet.Batch.Export.Transform/app.config,84,43,11
KSS.PriceNet.Batch.ExportEntity/app.config,84,43,11
KSS.PriceNet.Batch.GPCRulesMonitor/app.config,84,43,11
KSS.PriceNet.Batch.GPCUpdates/app.config,84,43,11
KSS.PriceNet.Batch.IDAL/app.config,84,43,11
KSS.PriceNet.Batch.LeadFollowPRCreation/app.config,84,43,11
KSS.PriceNet.Batch.Licensing/app.config,84,43,11
KSS.PriceNet.Batch.ModelUpdate.BLL/app.config,84,43,11
KSS.PriceNet.Batch.ModelUpdate.DataStructures/app.config,84,43,11
