entity,numberOfAuthors,numberOfRevisions
azure-pipelines.yml,7,26
Dockerfile,5,18
KSS.PriceNet.Batch.Service/App.config,8,15
Jenkinsfile,5,17
KSS.PriceNet.Batch.Import/app.config,8,13
KSS.PriceNet.Shared.Common/KSS.PriceNet.Shared.Common.csproj,5,13
Test Harness2/App.config,5,13
KSS.PriceNet.BatchApp/App.config,6,12
KSS.PriceNet.Shared.Common/app.config,5,12
KSS.PriceNet.Shared.DALFactory/app.config,6,11
PetesTestHarness/App.config,5,12
KSS.PriceNet.Batch.Import/ImportDataFiles.cs,5,12
KSS.PriceNet.ExportUtility/Export.cs,6,11
KSS.PriceNet.Batch.SQLServerDAL/ProposedPriceExportDAL.cs,5,12
KSS.PriceNet.Shared.Common/packages.config,4,12
DisasterAndRecoveryCSV/app.config,5,11
DisasterAndRecoveryXml/app.config,5,11
KSS.PriceNet.ArchiveTruncate/app.config,5,11
KSS.PriceNet.Batch.ArchiveTruncate/app.config,5,11
KSS.PriceNet.Batch.ClosedRestrictedStrategy/app.config,5,11
KSS.PriceNet.Batch.ConsoleApplication/App.config,5,11
KSS.PriceNet.Batch.CostAggregation/app.config,5,11
KSS.PriceNet.Batch.DealerPriceCalculation/app.config,5,11
KSS.PriceNet.Batch.DeleteExportedFiles/app.config,5,11
KSS.PriceNet.Batch.Download/app.config,5,11
KSS.PriceNet.Batch.EntityModel/app.config,5,11
KSS.PriceNet.Batch.Export.Auditing/app.config,5,11
KSS.PriceNet.Batch.Export.Formatter/app.config,5,11
KSS.PriceNet.Batch.Export.ModelSummary/app.config,5,11
KSS.PriceNet.Batch.Export.ModelSummaryRequester/app.config,5,11
KSS.PriceNet.Batch.Export.Notes/app.config,5,11
KSS.PriceNet.Batch.Export.PostProcessing/app.config,5,11
KSS.PriceNet.Batch.Export.PreProcessing/app.config,5,11
KSS.PriceNet.Batch.Export.ProposedPrices/app.config,5,11
KSS.PriceNet.Batch.Export.Transform/app.config,5,11
KSS.PriceNet.Batch.ExportEntity/app.config,5,11
KSS.PriceNet.Batch.GPCRulesMonitor/app.config,5,11
KSS.PriceNet.Batch.GPCUpdates/app.config,5,11
KSS.PriceNet.Batch.IDAL/app.config,5,11
KSS.PriceNet.Batch.LeadFollowPRCreation/app.config,5,11
KSS.PriceNet.Batch.Licensing/app.config,5,11
KSS.PriceNet.Batch.ModelUpdate.BLL/app.config,5,11
KSS.PriceNet.Batch.ModelUpdate.DataStructures/app.config,5,11
KSS.PriceNet.Batch.ModelUpdate.IDAL/app.config,5,11
KSS.PriceNet.Batch.ModelUpdate.SQLServerDAL/app.config,5,11
KSS.PriceNet.Batch.PRDEventProcess/app.config,5,11
KSS.PriceNet.Batch.PriceGenerationControl/app.config,5,11
KSS.PriceNet.Batch.PriceGenerationPreprocessing/app.config,5,11
KSS.PriceNet.Batch.PriceRequestValidation.Tests/app.config,5,11
KSS.PriceNet.Batch.PriceRequestValidation/app.config,5,11
KSS.PriceNet.Batch.Refinement/app.config,5,11
KSS.PriceNet.Batch.Rescaling/app.config,5,11
KSS.PriceNet.Batch.SQLServerDAL/app.config,5,11
KSS.PriceNet.Batch.StrategyInitialise/app.config,5,11
KSS.PriceNet.Batch.TimeZones/app.config,5,11
KSS.PriceNet.Batch.Transports.CommonTransport/app.config,5,11
KSS.PriceNet.Batch.Transports.EMail/app.config,5,11
KSS.PriceNet.Batch.Transports.FTP/app.config,5,11
KSS.PriceNet.Batch.Transports.Fax/app.config,5,11
KSS.PriceNet.Batch.Transports.File/app.config,5,11
KSS.PriceNet.Batch.Transports.MSMQ/app.config,5,11
KSS.PriceNet.Batch.Transports.SMS/app.config,5,11
KSS.PriceNet.Batch.Transports.TransportHandler/app.config,5,11
KSS.PriceNet.Batch.Transports.WebAPI/app.config,5,11
KSS.PriceNet.Batch.WaitingRoomBattle/app.config,5,11
KSS.PriceNet.Batch/app.config,5,11
KSS.PriceNet.ExportUtility/app.config,5,11
KSS.PriceNet.Optimisation/app.config,5,11
KSS.PriceNet.Parameterisation.BLL/app.config,5,11
KSS.PriceNet.Parameterisation.SQLServerDAL/app.config,5,11
KSS.PriceNet.PriceGeneration.BLL/app.config,5,11
KSS.PriceNet.PriceGeneration.BattleRulesLibrary/app.config,5,11
KSS.PriceNet.PriceGeneration.DataFunctions/app.config,5,11
KSS.PriceNet.PriceGeneration.DataStructures/app.config,5,11
KSS.PriceNet.PriceGeneration.IDAL/app.config,5,11
KSS.PriceNet.PriceGeneration.PriceBattle/app.config,5,11
KSS.PriceNet.PriceGeneration.RulesLibrary/app.config,5,11
KSS.PriceNet.PriceGeneration.SQLServerDAL/app.config,5,11
KSS.PriceNet.PriceGeneration.UnitTests/App.config,5,11
KSS.PriceNet.ProcessMonitor.BLL/app.config,5,11
KSS.PriceNet.ProcessMonitor.SQLServerDAL/app.config,5,11
KSS.PriceNet.Shared.Authentication/app.config,5,11
KSS.PriceNet.Shared.Contracts.Aral/app.config,5,11
KSS.PriceNet.Shared.Contracts.COCO/app.config,5,11
KSS.PriceNet.Shared.Contracts.COSTPLUS/app.config,5,11
KSS.PriceNet.Shared.Contracts.COSTPLUSEXTRA/app.config,5,11
KSS.PriceNet.Shared.Contracts.CPG/app.config,5,11
KSS.PriceNet.Shared.Contracts.DTW/app.config,5,11
