entity,coupled,degree,average-revs
post-deploy-tests/package-lock.json,post-deploy-tests/package.json,100,22
src/components/check-your-phone/check-your-phone-service.ts,src/components/check-your-phone/types.ts,100,7
src/components/enter-password/_change-email.njk,src/components/enter-password/_change-password.njk,100,6
src/components/enter-password/_change-password.njk,src/components/enter-password/_change-phone-number.njk,100,6
src/components/enter-password/_change-email.njk,src/components/enter-password/_change-phone-number.njk,100,6
src/components/add-mfa-method/add-mfa-method-routes.ts,src/components/add-mfa-method/index.njk,100,6
src/components/search-services/search-services-controller.ts,src/components/search-services/tests/search-services-controller.test.ts,94,9
src/components/add-mfa-method/add-mfa-method-routes.ts,src/components/add-mfa-method/add-mfa-methods-controller.ts,92,7
src/components/add-mfa-method/add-mfa-methods-controller.ts,src/components/add-mfa-method/index.njk,92,7
src/components/enter-password/_change-phone-number.njk,src/components/enter-password/_delete-account.njk,92,7
src/components/enter-password/_change-email.njk,src/components/enter-password/_delete-account.njk,92,7
src/components/enter-password/_change-password.njk,src/components/enter-password/_delete-account.njk,92,7
ci/terraform/build.tfvars,ci/terraform/integration.tfvars,90,27
src/services/event-service.ts,src/services/types.ts,87,8
src/components/sign-in-history/sign-in-history-controller.ts,src/utils/signInHistory.ts,86,12
src/locales/cy/translation.json,src/locales/en/translation.json,84,232
src/components/logout/logout-controller.ts,src/components/logout/tests/logout-controller.test.ts,84,10
src/middleware/subject-session-index-middleware.ts,src/utils/subject-session-index.ts,83,6
src/components/sign-in-history/tests/sign-in-history-controller.test.ts,src/components/sign-in-history/tests/sign-in-history-integration.test.ts,83,6
src/components/resend-email-code/tests/resend-email-code-integration.test.ts,src/components/resend-phone-code/tests/resend-phone-code-integration.test.ts,83,6
src/components/check-your-email/tests/check-your-email-integration.test.ts,src/components/enter-password/tests/enter-password-integration.test.ts,82,9
package-lock.json,package.json,81,297
Dockerfile,local.Dockerfile,81,40
src/components/global-logout/global-logout-controller.ts,src/components/global-logout/tests/global-logout-controller.test.ts,81,27
src/components/change-password/tests/change-password-integration.test.ts,src/components/enter-password/tests/enter-password-integration.test.ts,80,10
src/components/report-suspicious-activity/report-suspicious-activity-controller.ts,src/components/report-suspicious-activity/tests/report-suspicious-activity-controller.test.ts,76,13
