entity,added,deleted,commits
package-lock.json,56783,36504,259
yarn.lock,32105,34815,57
deploy/template.yaml,12794,6944,300
post-deploy-tests/package-lock.json,9892,1241,18
src/locales/cy/translation.json,4727,2135,215
src/locales/en/translation.json,4252,1420,247
localstack/provision.sh,1646,969,39
template.yaml,1490,1490,4
src/assets/scss/application.scss,1485,687,68
package.json,908,859,308
deploy/old-template.yaml,872,872,2
src/components/contact-govuk-one-login/tests/contact-govuk-one-login-controller.test.ts,834,240,38
src/config.ts,821,406,154
src/components/contact-govuk-one-login/contact-govuk-one-login-controller.ts,777,570,51
src/components/change-phone-number/tests/change-phone-number-integration.test.ts,737,432,28
src/utils/mfa/api.ts/api.ts,730,730,2
src/utils/mfa/api/api.ts,730,0,1
src/components/global-logout/tests/global-logout-controller.test.ts,703,408,29
src/components/delete-account/tests/delete-account-controller.test.ts,684,649,41
test/unit/utils/signInHistory.test.ts,659,762,9
src/utils/activityHistory.ts,623,150,17
test/pact/send-otp-code.test-pact.ts,616,87,5
src/components/activity-history/tests/activity-history-integration.test.ts,608,103,11
src/components/sign-in-history/tests/sign-in-history-integration.test.ts,599,857,8
src/utils/signInHistory.ts,592,799,15
src/components/report-suspicious-activity/tests/report-suspicious-activity-controller.test.ts,587,134,15
src/components/report-suspicious-activity/report-suspicious-activity-controller.ts,542,227,20
src/components/security/tests/security-controller.test.ts,534,227,24
src/app.ts,531,336,96
src/components/common/layout/base.njk,477,263,60
src/components/contact-govuk-one-login/index.njk,466,233,44
src/utils/test/mfa-test.ts,461,461,7
src/components/check-your-phone/check-your-phone-controller.ts,460,283,33
src/utils/test/mfa.test.ts,433,3,2
README.md,429,324,42
src/components/check-your-phone/tests/check-your-phone-integration.test.ts,420,385,20
.secrets.baseline,403,1,2
src/components/add-mfa-method/tests/add-mfa-methods-controller.test.ts,402,402,10
src/utils/mfa/index.ts,401,142,16
test/unit/utils/oidc.test.ts,377,69,5
src/utils/yourServices.ts,376,198,29
test/unit/middleware/outbound-contact-us-links-middleware.test.ts,375,6,9
src/components/your-services/index.njk,359,173,30
test/pact/change-phone-number-integration-pact.test.ts,358,151,8
test/pact/change-password-integration.test-pact.ts,352,64,8
src/components/delete-account/delete-account-controller.ts,342,296,51
src/app.constants.ts,330,147,68
src/components/check-your-phone/tests/check-your-phone-controller.test.ts,318,79,20
src/components/security/security-controller.ts,313,182,27
test/pact/change-email-integration.test-pact.ts,312,111,13
src/config/aws.ts,305,177,25
.github/workflows/build-test-application.yml,295,117,35
src/components/delete-account/tests/delete-account-integration.test.ts,293,197,20
src/utils/session-store.ts,291,85,12
src/utils/test/sqs.test.ts,291,6,2
src/components/change-default-method/tests/change-default-method-controller.test.ts,278,75,10
ci/terraform/variables.tf,277,337,35
src/utils/types.ts,267,123,44
src/components/your-services/tests/your-services-integration.test.ts,266,71,9
src/utils/sqs.ts,260,68,10
src/assets/javascript/cookies.js,255,1372,12
src/components/security/index.njk,253,94,25
test/unit/utils/session-ids.test.ts,248,248,4
src/components/activity-history/index.njk,246,57,11
src/components/add-mfa-method/add-mfa-methods-controller.ts,245,245,8
src/components/change-authenticator-app/tests/change-authenticator-app-controller.test.ts,244,20,8
src/components/change-authenticator-app/tests/change-authenticator-app-integration.test.ts,238,67,8
.github/workflows/validate-docker-image.yml,236,79,29
src/components/security/tests/security-integration.test.ts,234,57,15
src/components/change-default-method/change-default-method-controllers.ts,231,76,7
deploy/samconfig.toml,231,123,17
ci/terraform/ecs.tf,226,225,21
src/components/global-logout/global-logout-controller.ts,225,153,28
src/components/your-services/tests/your-services-controller.test.ts,222,82,12
src/components/change-email/tests/change-email-integration.test.ts,222,93,19
src/components/add-mfa-method-app/tests/add-mfa-methods-app-controller.test.ts,221,20,9
ci/terraform/redirect-lambda.tf,221,426,5
.github/workflows/on-manual-publish-to-dev.yml,216,27,12
.github/workflows/cd-only.yml,212,227,17
.github/workflows/main.yml,211,223,23
src/components/change-authenticator-app/change-authenticator-app-controller.ts,210,101,7
ci/terraform/security-groups.tf,206,202,12
src/components/choose-backup/tests/choose-backup-controller.test.ts,206,0,1
src/components/update-confirmation/update-confirmation-controller.ts,203,17,13
.github/workflows/validate-sam-template.yml,202,82,20
src/utils/dynamodb-queries.ts,200,200,4
test/utils/builders.ts,200,20,8
test/unit/middleware/update-session-middleware.test.ts,192,37,8
test/unit/utils/activityHistory.test.ts,190,16,4
test/unit/app.test.ts,189,87,3
src/assets/javascript/application.js,188,296,18
src/utils/dynamodb.ts,187,18,9
src/components/add-mfa-method-app/add-mfa-method-app-controller.ts,183,76,8
src/components/change-email/tests/change-email-service.test.ts,183,118,11
src/components/common/layout/header.njk,182,118,14
src/components/common/mfa/tests/index.test.ts,181,3,3
src/components/report-suspicious-activity/index.njk,180,47,7
src/utils/oidc.ts,175,167,25
test/unit/utils/safeTranslate.test.ts,172,6,4
test/utils/sqs.test.ts,171,88,3
docker-compose.yml,170,120,68
src/components/resend-phone-code/tests/resend-phone-code-integration.test.ts,169,23,8
src/components/resend-email-code/tests/resend-email-code-integration.test.ts,168,20,8
src/components/change-phone-number/index.njk,168,205,16
src/components/activity-history/tests/activity-history-controller.test.ts,167,15,11
test/unit/services/event-service.test.ts,167,167,7
src/services/event-service.test.ts,166,3,4
src/components/change-phone-number/tests/change-phone-number-controller.test.ts,165,51,11
src/components/manage-your-account/index.njk,165,245,15
test/unit/utils/strings.test.ts,163,59,16
src/components/check-your-phone/tests/check-your-phone-service.test.ts,162,22,11
src/components/switch-backup-method/tests/change-default-method-controller.test.ts,160,23,6
src/components/activity-history/activity-history-controller.ts,160,26,17
src/components/logout/tests/logout-controller.test.ts,157,133,13
.github/workflows/validate-docker-image-dev.yml,153,11,11
src/components/common/mfa/index.ts,153,31,5
src/components/enter-password/index.njk,150,112,16
src/utils/mfa/api.ts/common.ts,150,150,2
src/utils/mfa/api/common.ts,150,0,1
test/unit/config/nunjucks.test.ts,149,150,11
src/components/change-password/tests/change-password-integration.test.ts,149,95,15
test/unit/middleware/requires-auth-middleware.test.ts,149,57,8
test/unit/utils/yourServices.test.ts,148,79,8
src/components/common/layout/navigation.njk,146,86,19
src/components/your-services/your-services-controller.ts,146,85,20
src/assets/javascript/ua/init.js,145,0,1
src/components/update-confirmation/tests/update-confirmation-controller.test.ts,143,20,14
src/middleware/update-session-middleware.ts,143,63,7
test/unit/middleware/language-toggle-middleware.test.ts,143,2,5
test/utils/global-try-catch.test.ts,142,6,2
ci/terraform/alb.tf,142,143,19
src/components/change-password/tests/change-password-controller.test.ts,142,44,8
src/components/delete-account/index.njk,140,118,18
pact-docker-compose.yml,139,49,5
ci/terraform/sandpit.tfvars,139,147,26
.github/workflows/on-merge-to-main.yml,138,18,15
src/utils/test/session-store.test.ts,136,2,4
ci/terraform/ssm.tf,135,135,5
src/utils/test/decrypt-data.test.ts,134,3,2
src/utils/test/redact.test.ts,133,6,4
test/unit/utils/phone-number.test.ts,132,31,6
src/components/search-services/tests/search-services-controller.test.ts,132,13,7
src/services/event-service.ts,131,22,10
src/utils/state-machine.ts,128,59,14
Dockerfile,127,97,44
src/utils/test/session-ids.test.ts,127,3,2
docs/adr/0003-read-data-out-of-account-store-into-app.md,126,0,3
src/components/sign-in-history/index.njk,124,210,8
ci/terraform/waf.tf,124,124,4
src/components/add-mfa-method-sms/add-mfa-method-sms-controller.ts,121,21,7
src/components/check-your-phone/check-your-phone-service.ts,121,112,11
src/components/delete-account/delete-account-service.ts,121,85,11
test/unit/config/app.test.ts,121,121,2
src/utils/session-ids.ts,120,55,4
src/config/helmet.ts,115,32,18
src/middleware/outbound-contact-us-links-middleware.ts,115,8,9
.github/dependabot.yml,112,10,8
src/components/resend-phone-code/tests/resend-phone-code-controller.test.ts,111,17,8
.github/workflows/validate-sam-template-dev.yml,111,7,5
src/utils/dynamo.ts,111,67,10
src/utils/mfa/api.ts/configuration.ts,110,110,2
src/utils/mfa/api/configuration.ts,110,0,1
.prettierrc,109,92,2
ci/terraform/.terraform.lock.hcl,109,191,7
ci/terraform/cloudwatch.tf,108,108,9
src/components/manage-your-account/tests/manage-your-account-integration.test.ts,108,162,10
test/unit/middleware/set-local-vars-middleware.test.ts,106,47,16
src/components/add-mfa-method/index.njk,105,105,6
src/components/sign-in-history/sign-in-history-controller.ts,105,145,12
src/components/enter-password/enter-password-controller.ts,104,42,21
deploy-sandpit.sh,104,106,5
.github/PULL_REQUEST_TEMPLATE.md,104,36,8
test/unit/middleware/mfa-method-middleware.test.ts,103,23,7
src/utils/test/isUserLoggedIn.test.ts,102,51,3
src/components/change-default-method/change-default-method-routes.ts,102,42,8
src/components/resend-email-code/tests/resend-email-code-controller.test.ts,102,15,7
ci/terraform/route53.tf,102,102,12
