entity,added,deleted,commits
package.json,979,927,504
package-lock.json,58713,38334,460
deploy/template.yaml,12846,6966,426
src/locales/en/translation.json,4327,1441,397
src/locales/cy/translation.json,4787,2150,357
src/config.ts,896,441,245
src/app.ts,602,345,141
src/app.constants.ts,330,147,101
.env.sample,105,58,99
src/assets/scss/application.scss,1544,693,95
docker-compose.yml,172,120,92
src/components/common/layout/base.njk,477,265,90
yarn.lock,32105,34815,88
Dockerfile,131,101,74
src/components/delete-account/delete-account-controller.ts,344,298,70
src/components/contact-govuk-one-login/contact-govuk-one-login-controller.ts,777,570,70
src/components/contact-govuk-one-login/index.njk,466,233,68
src/utils/types.ts,267,123,66
README.md,429,324,63
local.Dockerfile,53,42,61
src/components/contact-govuk-one-login/tests/contact-govuk-one-login-controller.test.ts,834,240,56
src/middleware/set-local-vars-middleware.ts,97,86,55
src/components/delete-account/tests/delete-account-controller.test.ts,684,649,53
.github/workflows/build-test-application.yml,295,117,52
src/utils/yourServices.ts,431,216,50
src/components/check-your-phone/check-your-phone-controller.ts,470,290,50
localstack/provision.sh,1646,969,50
ci/terraform/variables.tf,277,337,50
src/components/global-logout/tests/global-logout-controller.test.ts,703,408,44
src/components/oidc-callback/call-back-controller.ts,79,44,43
src/components/global-logout/global-logout-controller.ts,227,155,42
.github/workflows/validate-docker-image.yml,236,79,42
src/config/helmet.ts,115,32,41
src/components/change-phone-number/tests/change-phone-number-integration.test.ts,737,432,41
ci/terraform/sandpit.tfvars,139,147,40
src/components/your-services/index.njk,359,173,39
ci/terraform/build.tfvars,56,58,39
src/config/aws.ts,305,177,37
ci/tasks/deploy-account-management.yml,66,99,37
src/components/security/security-controller.ts,394,262,35
src/components/check-your-phone/tests/check-your-phone-integration.test.ts,420,385,35
src/components/delete-account/tests/delete-account-integration.test.ts,293,197,35
src/utils/oidc.ts,175,167,35
ci/terraform/integration.tfvars,54,56,34
src/components/enter-password/enter-password-controller.ts,104,42,33
src/components/security/index.njk,253,94,32
src/components/check-your-phone/tests/check-your-phone-controller.test.ts,318,79,32
ci/terraform/ecs.tf,226,225,32
src/components/report-suspicious-activity/report-suspicious-activity-controller.ts,553,236,31
src/components/activity-history/activity-history-controller.ts,167,41,30
src/components/security/tests/security-controller.test.ts,534,227,30
src/utils/mfa/index.ts,413,154,29
src/components/your-services/your-services-controller.ts,146,85,29
test/unit/middleware/set-local-vars-middleware.test.ts,106,47,29
.github/workflows/main.yml,211,223,29
src/components/change-email/tests/change-email-integration.test.ts,222,93,28
src/components/change-phone-number/change-phone-number-controller.ts,93,64,28
ci/terraform/production.tfvars,32,39,28
.gitignore,45,37,27
src/components/delete-account/index.njk,140,118,27
.github/workflows/validate-sam-template.yml,202,82,27
post-deploy-tests/package-lock.json,10325,1767,26
post-deploy-tests/package.json,71,45,26
src/utils/activityHistory.ts,625,152,26
.nvmrc,11,11,26
src/components/manage-your-account/index.njk,165,245,26
ci/terraform/alb.tf,142,143,26
src/utils/strings.ts,78,40,25
.github/workflows/validate-docker-image-dev.yml,153,11,25
src/components/common/layout/navigation.njk,146,86,25
src/components/enter-password/index.njk,150,112,24
.github/workflows/on-merge-to-main.yml,138,18,24
src/utils/session-store.ts,316,103,23
