entity,numberOfAuthors,numberOfRevisions
package.json,27,320
deploy/template.yaml,27,304
package-lock.json,17,280
src/locales/en/translation.json,21,252
src/locales/cy/translation.json,22,219
src/config.ts,25,162
src/app.ts,21,100
docker-compose.yml,21,70
.env.sample,18,71
src/app.constants.ts,16,68
src/assets/scss/application.scss,9,69
src/components/common/layout/base.njk,16,60
yarn.lock,15,57
src/components/delete-account/delete-account-controller.ts,18,52
src/components/contact-govuk-one-login/contact-govuk-one-login-controller.ts,9,51
Dockerfile,13,46
src/utils/types.ts,15,44
src/components/delete-account/tests/delete-account-controller.test.ts,16,41
src/components/contact-govuk-one-login/index.njk,9,44
README.md,10,42
localstack/provision.sh,11,39
local.Dockerfile,12,37
.github/workflows/build-test-application.yml,14,35
src/components/check-your-phone/check-your-phone-controller.ts,13,34
src/utils/yourServices.ts,11,35
src/middleware/set-local-vars-middleware.ts,14,32
src/components/contact-govuk-one-login/tests/contact-govuk-one-login-controller.test.ts,8,38
ci/terraform/variables.tf,9,35
src/components/change-phone-number/tests/change-phone-number-integration.test.ts,13,28
src/components/oidc-callback/call-back-controller.ts,12,29
src/components/security/security-controller.ts,11,28
src/components/global-logout/tests/global-logout-controller.test.ts,10,29
src/components/global-logout/global-logout-controller.ts,9,29
.github/workflows/validate-docker-image.yml,9,29
src/components/your-services/index.njk,8,30
src/config/aws.ts,10,25
ci/terraform/sandpit.tfvars,9,26
src/utils/oidc.ts,9,25
src/components/security/tests/security-controller.test.ts,9,24
ci/tasks/deploy-account-management.yml,10,23
ci/terraform/build.tfvars,5,28
src/components/check-your-phone/tests/check-your-phone-integration.test.ts,12,20
src/components/delete-account/tests/delete-account-integration.test.ts,12,20
src/components/security/index.njk,7,25
ci/terraform/integration.tfvars,5,26
src/components/change-email/tests/change-email-integration.test.ts,11,19
src/components/enter-password/enter-password-controller.ts,9,21
.gitignore,9,20
src/components/check-your-phone/tests/check-your-phone-controller.test.ts,9,20
.github/workflows/validate-sam-template.yml,8,20
src/assets/javascript/application.js,9,18
src/components/report-suspicious-activity/report-suspicious-activity-controller.ts,6,21
src/components/your-services/your-services-controller.ts,7,20
src/components/change-phone-number/change-phone-number-controller.ts,9,18
ci/terraform/ecs.tf,6,21
.github/workflows/main.yml,4,23
src/utils/strings.ts,9,17
src/components/activity-history/activity-history-controller.ts,6,19
src/components/change-password/tests/change-password-integration.test.ts,10,15
test/unit/middleware/set-local-vars-middleware.test.ts,9,16
ci/terraform/production.tfvars,5,20
post-deploy-tests/package-lock.json,2,22
post-deploy-tests/package.json,2,22
src/utils/activityHistory.ts,6,18
