entity,age-months
test/e2e/dra/dra.go,0
test/e2e/dra/kind.yaml,0
api/discovery/aggregated_v2.json,0
api/discovery/apis.json,0
api/discovery/apis__resource.k8s.io.json,0
api/discovery/apis__resource.k8s.io__v1beta2.json,0
api/openapi-spec/swagger.json,0
api/openapi-spec/v3/api__v1_openapi.json,0
api/openapi-spec/v3/apis__admissionregistration.k8s.io__v1_openapi.json,0
api/openapi-spec/v3/apis__admissionregistration.k8s.io__v1alpha1_openapi.json,0
api/openapi-spec/v3/apis__admissionregistration.k8s.io__v1beta1_openapi.json,0
api/openapi-spec/v3/apis__apiextensions.k8s.io__v1_openapi.json,0
api/openapi-spec/v3/apis__apiregistration.k8s.io__v1_openapi.json,0
api/openapi-spec/v3/apis__apps__v1_openapi.json,0
api/openapi-spec/v3/apis__autoscaling__v1_openapi.json,0
api/openapi-spec/v3/apis__autoscaling__v2_openapi.json,0
api/openapi-spec/v3/apis__batch__v1_openapi.json,0
api/openapi-spec/v3/apis__certificates.k8s.io__v1_openapi.json,0
api/openapi-spec/v3/apis__certificates.k8s.io__v1alpha1_openapi.json,0
api/openapi-spec/v3/apis__certificates.k8s.io__v1beta1_openapi.json,0
api/openapi-spec/v3/apis__coordination.k8s.io__v1_openapi.json,0
api/openapi-spec/v3/apis__coordination.k8s.io__v1alpha2_openapi.json,0
api/openapi-spec/v3/apis__coordination.k8s.io__v1beta1_openapi.json,0
api/openapi-spec/v3/apis__discovery.k8s.io__v1_openapi.json,0
api/openapi-spec/v3/apis__events.k8s.io__v1_openapi.json,0
api/openapi-spec/v3/apis__flowcontrol.apiserver.k8s.io__v1_openapi.json,0
api/openapi-spec/v3/apis__internal.apiserver.k8s.io__v1alpha1_openapi.json,0
api/openapi-spec/v3/apis__networking.k8s.io__v1_openapi.json,0
api/openapi-spec/v3/apis__networking.k8s.io__v1beta1_openapi.json,0
api/openapi-spec/v3/apis__node.k8s.io__v1_openapi.json,0
api/openapi-spec/v3/apis__policy__v1_openapi.json,0
api/openapi-spec/v3/apis__rbac.authorization.k8s.io__v1_openapi.json,0
api/openapi-spec/v3/apis__resource.k8s.io__v1alpha3_openapi.json,0
api/openapi-spec/v3/apis__resource.k8s.io__v1beta1_openapi.json,0
api/openapi-spec/v3/apis__resource.k8s.io__v1beta2_openapi.json,0
api/openapi-spec/v3/apis__scheduling.k8s.io__v1_openapi.json,0
api/openapi-spec/v3/apis__storage.k8s.io__v1_openapi.json,0
api/openapi-spec/v3/apis__storage.k8s.io__v1alpha1_openapi.json,0
api/openapi-spec/v3/apis__storage.k8s.io__v1beta1_openapi.json,0
api/openapi-spec/v3/apis__storagemigration.k8s.io__v1alpha1_openapi.json,0
pkg/apis/resource/v1alpha3/zz_generated.conversion.go,0
pkg/apis/resource/v1beta1/zz_generated.conversion.go,0
pkg/apis/resource/v1beta2/zz_generated.conversion.go,0
pkg/apis/resource/v1beta2/zz_generated.defaults.go,0
pkg/apis/resource/zz_generated.deepcopy.go,0
pkg/generated/openapi/zz_generated.openapi.go,0
staging/src/k8s.io/api/resource/v1alpha3/generated.pb.go,0
staging/src/k8s.io/api/resource/v1alpha3/generated.proto,0
staging/src/k8s.io/api/resource/v1alpha3/types_swagger_doc_generated.go,0
staging/src/k8s.io/api/resource/v1alpha3/zz_generated.deepcopy.go,0
staging/src/k8s.io/api/resource/v1beta1/generated.pb.go,0
staging/src/k8s.io/api/resource/v1beta1/generated.proto,0
staging/src/k8s.io/api/resource/v1beta1/types_swagger_doc_generated.go,0
staging/src/k8s.io/api/resource/v1beta1/zz_generated.deepcopy.go,0
staging/src/k8s.io/api/resource/v1beta2/generated.pb.go,0
staging/src/k8s.io/api/resource/v1beta2/generated.proto,0
staging/src/k8s.io/api/resource/v1beta2/types_swagger_doc_generated.go,0
staging/src/k8s.io/api/resource/v1beta2/zz_generated.deepcopy.go,0
staging/src/k8s.io/api/resource/v1beta2/zz_generated.prerelease-lifecycle.go,0
staging/src/k8s.io/api/testdata/HEAD/resource.k8s.io.v1alpha3.ResourceSlice.json,0
staging/src/k8s.io/api/testdata/HEAD/resource.k8s.io.v1alpha3.ResourceSlice.pb,0
