entity,added,deleted,commits
vendor/modules.txt,3697,4868,1095
pkg/features/kube_features.go,3849,2886,988
go.mod,1951,1953,906
go.sum,4167,3956,831
pkg/generated/openapi/zz_generated.openapi.go,83427,12910,825
api/openapi-spec/swagger.json,110404,108543,693
staging/src/k8s.io/apiextensions-apiserver/go.sum,2842,3106,588
staging/src/k8s.io/sample-apiserver/go.sum,2818,3415,579
build/dependencies.yaml,1151,1076,577
staging/src/k8s.io/kube-aggregator/go.sum,2820,3409,573
staging/src/k8s.io/apiserver/go.sum,3151,3641,571
staging/src/k8s.io/apiserver/go.mod,1000,806,567
staging/src/k8s.io/cloud-provider/go.sum,2755,3333,563
staging/src/k8s.io/controller-manager/go.sum,2760,3719,560
staging/src/k8s.io/apiextensions-apiserver/go.mod,1096,823,559
staging/src/k8s.io/pod-security-admission/go.sum,2733,3329,553
staging/src/k8s.io/kube-aggregator/go.mod,1006,754,527
staging/src/k8s.io/cloud-provider/go.mod,940,680,508
staging/src/k8s.io/sample-apiserver/go.mod,987,720,508
staging/src/k8s.io/kubectl/go.sum,2016,3247,484
staging/src/k8s.io/pod-security-admission/go.mod,925,675,481
staging/src/k8s.io/controller-manager/go.mod,918,669,477
staging/src/k8s.io/component-base/go.sum,2233,2639,457
staging/src/k8s.io/kubectl/go.mod,665,521,448
staging/src/k8s.io/kubelet/go.sum,1925,3455,446
staging/publishing/rules.yaml,13238,12785,445
staging/src/k8s.io/legacy-cloud-providers/go.sum,1749,2865,416
staging/src/k8s.io/cli-runtime/go.sum,1625,2771,413
staging/src/k8s.io/sample-cli-plugin/go.sum,1624,2768,413
staging/src/k8s.io/kube-controller-manager/go.sum,1238,3190,409
staging/src/k8s.io/component-base/go.mod,732,589,408
staging/src/k8s.io/client-go/go.mod,546,468,404
staging/src/k8s.io/client-go/go.sum,1653,2632,401
pkg/kubelet/kubelet.go,2741,1666,398
staging/src/k8s.io/sample-controller/go.sum,1538,2704,397
staging/src/k8s.io/cli-runtime/go.mod,553,425,396
staging/src/k8s.io/metrics/go.sum,1544,2697,393
staging/src/k8s.io/component-helpers/go.sum,1472,2611,386
api/openapi-spec/v3/api__v1_openapi.json,11448,3383,374
build/common.sh,367,344,374
staging/src/k8s.io/sample-cli-plugin/go.mod,567,394,364
staging/src/k8s.io/legacy-cloud-providers/go.mod,626,572,359
staging/src/k8s.io/apimachinery/go.mod,446,412,357
staging/src/k8s.io/code-generator/examples/go.sum,1406,2338,349
staging/src/k8s.io/sample-controller/go.mod,548,411,349
