entity,n-authors,n-revs
deploy/template.yaml,267,304
package.json,262,318
src/locales/en/translation.json,236,252
package-lock.json,222,278
src/locales/cy/translation.json,207,219
src/config.ts,152,162
src/app.ts,89,100
src/app.constants.ts,66,68
src/assets/scss/application.scss,65,69
.env.sample,63,71
docker-compose.yml,62,70
src/components/common/layout/base.njk,53,60
yarn.lock,52,57
src/components/delete-account/delete-account-controller.ts,46,52
src/components/contact-govuk-one-login/contact-govuk-one-login-controller.ts,46,51
Dockerfile,43,46
src/components/contact-govuk-one-login/index.njk,41,44
src/utils/types.ts,40,44
src/components/contact-govuk-one-login/tests/contact-govuk-one-login-controller.test.ts,38,38
README.md,36,42
src/components/delete-account/tests/delete-account-controller.test.ts,35,41
local.Dockerfile,34,37
src/utils/yourServices.ts,34,35
localstack/provision.sh,33,39
ci/terraform/variables.tf,33,35
src/components/check-your-phone/check-your-phone-controller.ts,32,34
.github/workflows/build-test-application.yml,30,35
src/middleware/set-local-vars-middleware.ts,29,32
src/components/your-services/index.njk,28,30
src/components/security/security-controller.ts,28,28
src/components/oidc-callback/call-back-controller.ts,27,29
src/components/change-phone-number/tests/change-phone-number-integration.test.ts,27,28
ci/terraform/sandpit.tfvars,26,26
src/components/global-logout/global-logout-controller.ts,25,29
ci/terraform/build.tfvars,25,28
src/components/security/index.njk,25,25
src/components/global-logout/tests/global-logout-controller.test.ts,24,29
.github/workflows/validate-docker-image.yml,24,29
src/components/security/tests/security-controller.test.ts,24,24
ci/terraform/integration.tfvars,23,26
ci/tasks/deploy-account-management.yml,23,23
src/utils/oidc.ts,22,25
src/config/aws.ts,22,25
src/components/enter-password/enter-password-controller.ts,21,21
src/components/report-suspicious-activity/report-suspicious-activity-controller.ts,20,21
ci/terraform/ecs.tf,20,21
src/components/check-your-phone/tests/check-your-phone-integration.test.ts,20,20
src/components/delete-account/tests/delete-account-integration.test.ts,20,20
ci/terraform/production.tfvars,20,20
src/components/activity-history/activity-history-controller.ts,19,19
src/components/change-email/tests/change-email-integration.test.ts,19,19
src/components/your-services/your-services-controller.ts,18,20
ci/terraform/alb.tf,18,19
src/config/helmet.ts,18,18
src/components/change-phone-number/change-phone-number-controller.ts,18,18
src/components/delete-account/index.njk,18,18
.gitignore,17,20
.github/workflows/validate-sam-template.yml,17,20
src/components/check-your-phone/tests/check-your-phone-controller.test.ts,17,20
src/components/common/layout/navigation.njk,17,19
src/assets/javascript/application.js,17,18
src/utils/activityHistory.ts,17,18
src/utils/strings.ts,17,17
src/utils/mfa/index.ts,16,17
src/components/change-phone-number/index.njk,16,16
src/components/enter-password/index.njk,15,16
src/utils/session-store.ts,15,16
test/unit/utils/strings.test.ts,15,16
test/unit/middleware/set-local-vars-middleware.test.ts,15,16
src/components/security/tests/security-integration.test.ts,15,15
src/components/manage-your-account/index.njk,15,15
src/components/change-password/tests/change-password-integration.test.ts,15,15
src/utils/signInHistory.ts,15,15
src/components/report-suspicious-activity/tests/report-suspicious-activity-controller.test.ts,14,15
src/components/change-password/index.njk,14,15
.github/workflows/on-merge-to-main.yml,14,15
src/utils/state-machine.ts,14,14
src/components/update-confirmation/update-confirmation-controller.ts,14,14
src/components/check-your-phone/index.njk,14,14
src/components/common/layout/header.njk,14,14
src/components/check-your-email/index.njk,14,14
.github/workflows/main.yml,13,23
src/components/update-confirmation/tests/update-confirmation-controller.test.ts,13,14
src/components/activity-history/tests/activity-history-controller.test.ts,13,13
test/pact/change-email-integration.test-pact.ts,13,13
src/components/check-your-email/check-your-email-controller.ts,13,13
src/components/logout/tests/logout-controller.test.ts,13,13
deploy/samconfig.toml,12,17
src/middleware/requires-auth-middleware.ts,12,13
src/config/session.ts,12,13
src/components/your-services/tests/your-services-controller.test.ts,12,12
ci/terraform/security-groups.tf,12,12
@types/express/index.d.ts,12,12
src/components/sign-in-history/sign-in-history-controller.ts,12,12
src/components/activity-history/index.njk,12,12
src/assets/javascript/cookies.js,12,12
src/utils/logger.ts,12,12
ci/terraform/route53.tf,12,12
.github/workflows/cd-only.yml,11,17
src/config/nunjucks.ts,11,14
.nvmrc,11,13
ci/terraform/staging.tfvars,11,12
src/components/check-your-phone/check-your-phone-service.ts,11,11
test/unit/utils/yourServices.test.ts,11,11
src/components/enter-password/tests/enter-password-integration.test.ts,11,11
src/components/check-your-email/tests/check-your-email-controller.test.ts,11,11
src/components/change-phone-number/tests/change-phone-number-controller.test.ts,11,11
src/components/delete-account/delete-account-service.ts,11,11
src/components/check-your-email/tests/check-your-email-integration.test.ts,11,11
src/utils/http.ts,11,11
src/components/activity-history/tests/activity-history-integration.test.ts,11,11
src/utils/sqs.ts,11,11
src/components/change-email/tests/change-email-service.test.ts,11,11
src/components/check-your-phone/tests/check-your-phone-service.test.ts,11,11
post-deploy-tests/package-lock.json,10,21
post-deploy-tests/package.json,10,21
.github/workflows/on-manual-publish-to-dev.yml,10,12
test/unit/config/nunjucks.test.ts,10,11
.github/workflows/sonarcloud.yml,10,10
src/server.ts,10,10
src/components/change-password/change-password-controller.ts,10,10
src/components/resend-phone-code/resend-phone-code-controller.ts,10,10
src/services/event-service.ts,10,10
src/components/oidc-callback/tests/callback-controller.test.ts,10,10
src/components/logout/logout-controller.ts,10,10
src/components/report-suspicious-activity/report-suspicious-activity-routes.ts,10,10
src/components/add-mfa-method/tests/add-mfa-methods-controller.test.ts,10,10
sonar-project.properties,10,10
src/components/manage-your-account/tests/manage-your-account-integration.test.ts,10,10
src/components/common/errors/404.njk,9,11
.github/workflows/validate-docker-image-dev.yml,9,11
src/types.ts,9,10
src/utils/mfa/types.d.ts,9,10
src/components/your-services/tests/your-services-integration.test.ts,9,9
src/services/types.ts,9,9
src/components/search-services/tests/search-services-controller.test.ts,9,9
src/components/resend-email-code/resend-email-code-controller.ts,9,9
ci/terraform/account-management-client.tf,9,9
test/unit/utils/signInHistory.test.ts,9,9
src/components/contact-govuk-one-login/event-service.ts,9,9
src/components/enter-password/tests/enter-password-controller.test.ts,9,9
src/components/session-expired/index.njk,9,9
src/components/redirects/redirects-routes.ts,9,9
src/components/check-your-phone/types.ts,9,9
src/components/add-mfa-method-app/add-mfa-method-app-controller.ts,9,9
src/components/update-confirmation/index.njk,9,9
ci/terraform/cloudwatch.tf,9,9
src/components/track-and-redirect/track-and-redirect-route.ts,9,9
src/utils/dynamodb.ts,9,9
src/utils/dynamo.ts,8,10
src/components/add-mfa-method-app/tests/add-mfa-methods-app-controller.test.ts,8,9
src/utils/sns.ts,8,9
src/components/resend-email-code/tests/resend-email-code-integration.test.ts,8,8
src/components/security/security-routes.ts,8,8
test/pact/change-password-integration.test-pact.ts,8,8
