entity,numberOfAuthors,numberOfRevisions
pkg/features/kube_features.go,188,594
vendor/modules.txt,156,620
pkg/generated/openapi/zz_generated.openapi.go,178,483
go.mod,118,521
go.sum,111,479
api/openapi-spec/swagger.json,140,399
staging/src/k8s.io/apiextensions-apiserver/go.sum,81,335
build/dependencies.yaml,40,376
staging/src/k8s.io/apiserver/go.mod,80,329
staging/src/k8s.io/apiserver/go.sum,83,326
staging/src/k8s.io/sample-apiserver/go.sum,82,326
staging/src/k8s.io/kube-aggregator/go.sum,81,325
staging/src/k8s.io/cloud-provider/go.sum,81,319
staging/src/k8s.io/apiextensions-apiserver/go.mod,77,321
staging/src/k8s.io/controller-manager/go.sum,80,318
staging/src/k8s.io/pod-security-admission/go.sum,79,311
staging/src/k8s.io/kube-aggregator/go.mod,74,303
staging/src/k8s.io/sample-apiserver/go.mod,71,282
staging/src/k8s.io/cloud-provider/go.mod,70,280
staging/src/k8s.io/kubectl/go.sum,77,268
staging/src/k8s.io/pod-security-admission/go.mod,66,273
staging/src/k8s.io/controller-manager/go.mod,67,271
staging/src/k8s.io/component-base/go.sum,72,257
staging/src/k8s.io/kubectl/go.mod,74,254
pkg/kubelet/kubelet.go,92,230
staging/src/k8s.io/kubelet/go.sum,74,247
staging/src/k8s.io/legacy-cloud-providers/go.sum,75,246
staging/publishing/rules.yaml,27,281
api/openapi-spec/v3/api__v1_openapi.json,97,207
staging/src/k8s.io/component-base/go.mod,66,238
staging/src/k8s.io/cli-runtime/go.sum,73,228
staging/src/k8s.io/sample-cli-plugin/go.sum,73,228
staging/src/k8s.io/kube-controller-manager/go.sum,73,228
staging/src/k8s.io/client-go/go.sum,69,228
staging/src/k8s.io/client-go/go.mod,64,232
staging/src/k8s.io/api/core/v1/types.go,84,211
staging/src/k8s.io/sample-controller/go.sum,67,228
staging/src/k8s.io/metrics/go.sum,66,224
staging/src/k8s.io/component-helpers/go.sum,66,221
staging/src/k8s.io/cli-runtime/go.mod,64,218
pkg/apis/core/validation/validation_test.go,82,198
pkg/apis/core/validation/validation.go,76,201
staging/src/k8s.io/apimachinery/go.mod,60,215
staging/src/k8s.io/legacy-cloud-providers/go.mod,66,208
